ID,Name,Author,Genre
630,Dark Reflections,Samuel R. Delany,"{""Speculative fiction"", ""Fiction"", ""Novel""}"
631,Evernight,Claudia Gray,"{""Gothic fiction"", ""Fantasy"", ""Young adult literature""}"
632,The Gods of War,Conn Iggulden,"{""Alternate history"", ""Historical novel""}"
633,Feathers,Jacqueline Woodson,"{""Young adult literature""}"
634,Only Human,Gareth Roberts,"{""Science Fiction""}"
635,If There Be Thorns,V. C. Andrews,"{""Gothic fiction"",""Speculative fiction"", ""Young adult literature""}"
636,China Sky,Pearl S. Buck,"{""Historical novel""}"
637,One Night @ the Call Center,Chetan Bhagat,"{""Fiction""}"
638,"Enderby's Dark Lady, or No End of Enderby",Anthony Burgess,"{""Speculative fiction""}"
639,The Year of the Angry Rabbit,Russell Braddon,"{""Science Fiction""}"
640,Moominland Midwinter,Tove Jansson,"{""Speculative fiction"", ""Fantasy"",""Children's literature""}"
641,One Good Knight,Mercedes Lackey,"{""Speculative fiction"", ""Fantasy""}"
642,Cards on the Table,Agatha Christie,"{""Crime Fiction"",""Mystery"",""Children's literature"", ""Fiction"", ""Suspense""}"
643,A Midsummer Night's Dream,William Shakespeare,"{""Fantasy"", ""Comedy""}"
644,The Shadow of the Torturer,Gene Wolfe,"{""Science Fiction"",""Speculative fiction"", ""Fiction"",""Fantasy""}"
645,The Turkish Gambit,Boris Akunin,"{""Mystery"", ""Historical fiction"", ""Novel""}"
646,Night of January 16th,Ayn Rand,"{""Ergodic literature""}"
647,Brimstone,Douglas Preston,"{""Thriller"", ""Crime Fiction"", ""Techno-thriller"",""Speculative fiction"",""Mystery"", ""Suspense""}"
648,The Nitrogen Fix,Hal Clement,"{""Science Fiction"",""Speculative fiction""}"
649,Eastern Standard Tribe,Cory Doctorow,"{""Science Fiction"",""Speculative fiction""}"
650,Those Who Walk In Darkness,John Ridley,"{""Science Fiction""}"
651,Froth on the daydream,Boris Vian,"{""Novel""}"
652,King of the Wind,Marguerite Henry,"{""Children's literature"", ""Fiction"", ""Novel""}"
653,Washington Square,Henry James,"{""Novel""}"
654,The Gods of Mars,Edgar Rice Burroughs,"{""Science Fiction"",""Children's literature"", ""Planetary romance"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
655,The Foundling,Nette Hilton,"{""Speculative fiction"", ""Fiction"", ""Romance novel""}"
656,Dark Fire,Chris D'Lacey,"{""Fantasy""}"
657,The Reaction,K. A. Applegate,"{""Science Fiction"",""Speculative fiction"", ""Novel""}"
658,Reading in the Dark,Seamus Deane,"{""Speculative fiction"", ""Fiction"", ""Novel""}"
659,Double Act,Jacqueline Wilson,"{""Children's literature"", ""Fiction""}"
660,Stormchaser,Chris Riddell,"{""Speculative fiction"", ""Fantasy"",""Children's literature""}"
661,Tom Swift and His Submarine Boat,Victor Appleton,"{""Young adult literature"", ""Adventure novel""}"
662,The Hallowed Hunt,Lois McMaster Bujold,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
663,The Wood Beyond the World,William Morris,"{""Speculative fiction"", ""Fantasy""}"
664,The Veiled Prophet,Richard A. Knaak,"{""Speculative fiction"", ""Fantasy""}"
665,"Candide, ou l'Optimisme",Voltaire,"{""Satire"", ""Bildungsroman"", ""Picaresque novel""}"
666,Buddy Holly is Alive and Well on Ganymede,Bradley Denton,"{""Science Fiction""}"
667,Jubilee,Jack Dann,"{""Speculative fiction"",""Children's literature"", ""Fiction"", ""Historical novel""}"
668,Specimen Days,Michael Cunningham,"{""Speculative fiction"", ""Novel""}"
669,The Man Who Loved Children,Christina Stead,"{""Fiction"", ""Novel""}"
670,Praisesong for the Widow,Paule Marshall,"{""Novel""}"
671,El juguete rabioso,Roberto Arlt,"{""Children's literature"", ""Fiction""}"
672,Sixth Grade Secrets,Louis Sachar,"{""Children's literature"", ""Fiction""}"
673,The Ghost Brigades,John Scalzi,"{""Science Fiction"",""Speculative fiction"", ""Novel""}"
674,Dwellers in the Crucible,Margaret Wander Bonanno,"{""Science Fiction""}"
675,Damaged Goods,Russell T. Davies,"{""Speculative fiction""}"
676,The Edge,Alan Gibbons,"{""Children's literature"", ""Young adult literature"", ""Fiction""}"
677,"They Shoot Horses, Don't They?",Horace McCoy,"{""Existentialism""}"
678,Between the Acts,Virginia Woolf,"{""Fiction"", ""Novel""}"
679,In the Empire of Shadow,Lawrence Watt-Evans,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
680,A Demon in My View,Ruth Rendell,"{""Crime Fiction"",""Mystery"", ""Suspense""}"
681,Gypsy in Amber,Martin Cruz Smith,"{""Mystery"", ""Fiction"", ""Suspense""}"
682,The Apeman's Secret,Franklin W. Dixon,"{""Mystery"", ""Detective fiction""}"
683,Professor Shonku,Satyajit Ray,"{""Science Fiction"", ""Short story""}"
684,The Cold Six Thousand,James Ellroy,"{""Crime Fiction"",""Mystery"", ""Novel"", ""Suspense""}"
685,Soldados de Salamina,Javier Cercas,"{""Novel""}"
686,Seven Days in New Crete,Robert Graves,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
687,Passage,John David Morley,"{""Picaresque novel"", ""Fiction"", ""Historical novel""}"
688,The Heart of the Warrior,John Gregory Betancourt,"{""Science Fiction"",""Speculative fiction""}"
689,Super-Cannes,J. G. Ballard,"{""Speculative fiction"", ""Fiction""}"
690,"Churchill, Hitler and the Unnecessary War",Pat Buchanan,"{""History"", ""Politics""}"
691,Master of the Moon,Angela Knight,"{""Speculative fiction""}"
692,A Spell for Chameleon,Piers Anthony,"{""Science Fiction"",""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
693,The Diamond Age,Neal Stephenson,"{""Cyberpunk"", ""Science Fiction"",""Speculative fiction"", ""Fiction"", ""Postcyberpunk""}"
694,"Dawkins' God: Genes, Memes, and the Meaning of Life",Alister McGrath,"{""Science""}"
695,Dread Brass Shadows,Glen Cook,"{""Mystery"",""Speculative fiction"", ""Fantasy""}"
696,The Wind on the Moon,Eric Linklater,"{""Children's literature"", ""Fantasy"", ""Adventure novel""}"
697,The Kouga Ninja Scrolls,Futaro Yamada,"{""Fantasy""}"
698,Memory in Death,Nora Roberts,"{""Crime Fiction"",""Speculative fiction""}"
699,"God Bless You, Mr. Rosewater",Kurt Vonnegut,"{""Speculative fiction"", ""Fiction"", ""Novel""}"
700,The Big Country,Donald Hamilton,"{""Western fiction""}"
701,Room,Emma Donoghue,"{""Literary fiction"", ""Novel""}"
702,The Dragon's Teeth,Frederic Dannay,"{""Mystery""}"
703,Something Else,Kathryn Cave,"{""Children's literature"", ""Fiction""}"
704,Galaxy of Fear: The Doomsday Ship,John Whitman,"{""Science Fiction""}"
705,Red Square,Martin Cruz Smith,"{""Crime Fiction"", ""Fiction""}"
706,Crown of Slaves,Eric Flint,"{""Science Fiction"",""Speculative fiction"", ""Spy fiction""}"
707,Space Mowgli,Boris Strugatsky,"{""Science Fiction""}"
708,The Artemis Fowl Files,Eoin Colfer,"{""Science Fiction"",""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
709,The Twenty-Seventh City,Jonathan Franzen,"{""Fiction""}"
710,A Clergyman's Daughter,George Orwell,"{""Novel""}"
711,The Writing on the Hearth,Cynthia Harnett,"{""Children's literature"", ""Historical novel""}"
712,How to Live Safely in a Science Fictional Universe,Charles Yu,"{""Novel""}"
713,"Texar's Revenge, or, North Against South",Jules Verne,"{""Adventure novel""}"
714,Memory Prime,Garfield Reeves-Stevens,"{""Science Fiction""}"
715,The Magical Monarch of Mo,L. Frank Baum,"{""Fantasy""}"
716,Daisy Miller,Henry James,"{""Novella""}"
717,Kingdom of Fear,Hunter S. Thompson,"{""Autobiography"", ""Biography""}"
718,The Iron Man,Ted Hughes,"{""Science Fiction"",""Children's literature"", ""Fantasy"", ""Fiction"", ""Novel""}"
719,A Case of Exploding Mangoes,Mohammed Hanif,"{""Novel""}"
720,The Iron Star,Eric Temple Bell,"{""Science Fiction""}"
721,Island in the Sea of Time,S. M. Stirling,"{""Alternate history"", ""Science Fiction"",""Speculative fiction""}"
722,Three Men in a Boat,Jerome K. Jerome,"{""Children's literature"", ""Fiction""}"
723,CHERUB: The Recruit,Robert Muchamore,"{""Thriller"", ""Spy fiction"",""Children's literature""}"
724,.hack//AI buster,Tatsuya Hamazaki,"{""Science Fiction""}"
725,Dolores Claiborne,Stephen King,"{""Thriller"",""Children's literature"", ""Horror"",""Speculative fiction"", ""Fiction""}"
726,A Little Princess,Frances Hodgson Burnett,"{""Speculative fiction"",""Children's literature"", ""Fiction""}"
727,Romanitas,Sophia McDougall,"{""Alternate history"",""Speculative fiction""}"
728,Batman: The Ultimate Evil,Andrew Vachss,"{""Crime Fiction""}"
729,Whipping Star,Frank Herbert,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
730,When True Night Falls,Celia S. Friedman,"{""Speculative fiction"", ""Fantasy""}"
731,Necropolis: City of the Dead,Anthony Horowitz,"{""Thriller"", ""Fantasy"", ""Adventure novel""}"
732,O Pioneers!,Willa Cather,"{""Historical fiction""}"
733,Rocket to Luna,Evan Hunter,"{""Science Fiction"",""Speculative fiction""}"
734,Seesaw,Deborah Moggach,"{""Novel""}"
735,A Warlock in Whitby,Robin Jarvis,"{""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
736,Prodigal Summer: A Novel,Barbara Kingsolver,"{""Novel""}"
737,Outcast,Michelle Paver,"{""Children's literature"", ""Fantasy"", ""Adventure novel""}"
738,The Golem's Eye,Jonathan Stroud,"{""Speculative fiction"", ""Fantasy"",""Children's literature""}"
739,The Arctic Patrol Mystery,Franklin W. Dixon,"{""Children's literature"", ""Young adult literature""}"
740,The Immortals of Meluha,Amish Tripathi,"{""Fiction""}"
741,Cloak of Deception,James Luceno,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
742,The Infernal Desire Machines of Doctor Hoffman,Angela Carter,"{""Speculative fiction"", ""Fiction""}"
743,The Black Bouquet,Richard Lee Byers,"{""Fantasy""}"
744,Stone's Fall,Iain Pears,"{""Mystery"", ""Historical novel""}"
745,Forty Thousand in Gehenna,C. J. Cherryh,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
746,The Creator,Clifford D. Simak,"{""Science Fiction""}"
747,Dreamland,Sarah Dessen,"{""Children's literature"", ""Young adult literature""}"
748,Colonization: Aftershocks,Harry Turtledove,"{""Alternate history"", ""Science Fiction"", ""Fiction""}"
749,The Man Who Could Not Shudder,John Dickson Carr,"{""Mystery"", ""Detective fiction""}"
750,The Far Shore of Time,Frederik Pohl,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
751,Démolir Nisard,Eric Chevillard,"{""Novel""}"
752,The Brightonomicon,Robert Rankin,"{""Speculative fiction"", ""Fantasy"", ""Fiction""}"
753,The Lathe of Heaven,Ursula K. Le Guin,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction"", ""Dystopia""}"
754,Man from Mundania,Piers Anthony,"{""Speculative fiction"", ""Fantasy"", ""Fiction""}"
755,Tokyo,Mo Hayder,"{""Thriller"", ""Fiction""}"
756,The Last of the Immortals,Andrey Livadny,"{""Military science fiction""}"
757,As Comadres,Miguel M. Abrahão,"{""Comedy""}"
758,Land of the Living,Nicci Gerrard,"{""Thriller""}"
759,Aelita,Aleksey Nikolayevich Tolstoy,"{""Science Fiction"",""Speculative fiction""}"
760,Dragonstorm,Graham Edwards,"{""Speculative fiction"", ""Fantasy""}"
761,The Naked Sun,Isaac Asimov,"{""Mystery"", ""Science Fiction"",""Speculative fiction"",""Children's literature"", ""Fiction""}"
762,Marley & Me: Life and Love with the World's Worst Dog,John Grogan,"{""Non-fiction""}"
763,The Indian Clerk,David Leavitt,"{""Fiction"", ""Novel""}"
764,Portrait of Lozana: The Lusty Andalusian Woman,Francisco Delicado,"{""Novel""}"
765,Bridge of Souls,Fiona McIntosh,"{""Speculative fiction"", ""Fantasy"", ""Fiction""}"
766,Killing Floor,Lee Child,"{""Thriller"",""Mystery"", ""Novel"", ""Fiction"", ""Suspense""}"
767,The Black Circle,Patrick Carman,"{""Children's literature"", ""Adventure novel""}"
768,The Coroner's Lunch,Colin Cotterill,"{""Crime Fiction""}"
769,Gilead,Marilynne Robinson,"{""Fiction"", ""Novel""}"
770,Tales of a Fourth Grade Nothing,Judy Blume,"{""Children's literature"", ""Fiction""}"
771,The Lady in the Lake,Raymond Chandler,"{""Crime Fiction"", ""Detective fiction"", ""Novel"", ""Hardboiled""}"
772,Microserfs,Douglas Coupland,"{""Epistolary novel"", ""Fiction""}"
773,Ishmael and the Return of the Dugongs,Michael Gerard Bauer,"{""Young adult literature""}"
774,Inkheart,Cornelia Funke,"{""Speculative fiction"", ""Fantasy"",""Children's literature"", ""Bildungsroman""}"
775,Milkweed,Jerry Spinelli,"{""Young adult literature"", ""Historical novel""}"
776,The Jester,James Patterson,"{""Historical fiction"", ""Fiction"", ""Suspense""}"
777,The Depths of Time,Roger MacBride Allen,"{""Science Fiction""}"
778,Dark Congress,Christopher Golden,"{""Speculative fiction"", ""Horror"",""Children's literature""}"
779,"The Kingdom and the Power: Behind the Scenes at The New York Times, The Institution That Influences the World",Gay Talese,"{""Non-fiction""}"
780,The Armageddon Inheritance,David Weber,"{""Science Fiction"",""Speculative fiction"", ""Military science fiction""}"
781,My Uncle Oswald,Roald Dahl,"{""Speculative fiction"", ""Fiction"", ""Novel""}"
782,Six Suspects,Vikas Swarup,"{""Novel""}"
783,Veniss Underground,Jeff VanderMeer,"{""Science Fiction"",""Speculative fiction"", ""Horror""}"
784,The Sense of the Past,Henry James,"{""Novel""}"
785,A Girl Named Disaster,Nancy Farmer,"{""Speculative fiction"",""Children's literature""}"
786,Kingdom of Shadows,Barbara Erskine,"{""Speculative fiction"", ""Spy fiction"", ""War novel"", ""Historical novel""}"
787,The Adventures of Harry Richmond,George Meredith,"{""Romance novel"", ""Adventure novel"", ""Picaresque novel""}"
788,K Is for Killer,Sue Grafton,"{""Mystery"",""Speculative fiction"", ""Fiction"", ""Suspense""}"
789,Playing for Pizza,John Grisham,"{""Fiction"", ""Novel""}"
790,The Child of the Cavern,Jules Verne,"{""Science Fiction"", ""Novel"", ""Adventure novel""}"
791,The Serpent Mage,Greg Bear,"{""Fiction""}"
792,Queer Person,Ralph Hubbard,"{""Children's literature""}"
793,Good in Bed,Jennifer Weiner,"{""Fiction""}"
794,The Sword of the Lady,S. M. Stirling,"{""Alternate history"", ""Apocalyptic and post-apocalyptic fiction"", ""Novel""}"
795,The Altar of the Dead,Henry James,"{""Short story""}"
796,Galaxy of Fear: The Hunger,John Whitman,"{""Science Fiction""}"
797,Antarctica,Kim Stanley Robinson,"{""Science Fiction"",""Speculative fiction""}"
798,Father Hilary's Holiday,Bruce Marshall,"{""Novel""}"
799,Ecotopia Emerging,Ernest Callenbach,"{""Speculative fiction"", ""Fiction"", ""Novel""}"
800,Deep Water,Laura Anne Gilman,"{""Science Fiction"",""Children's literature"", ""Horror"",""Speculative fiction"",""Mystery"", ""Fantasy"", ""Fiction"", ""Suspense""}"
801,Terminal World,Alastair Reynolds,"{""Science Fiction"", ""Novel""}"
802,Rules of Engagement,Peter Morwood,"{""Science Fiction""}"
803,The Ties That Bind,Judy Blundell,"{""Science Fiction""}"
804,Ishmael,Daniel Quinn,"{""Speculative fiction"", ""Fantasy"", ""Fiction"", ""Novel""}"
805,A Conspiracy of Paper: A Novel,David Liss,"{""Mystery"", ""Fiction"", ""Suspense"", ""Historical novel""}"
806,The Star Scroll,Melanie Rawn,"{""Science Fiction"",""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
807,The Vampire Lestat,Anne Rice,"{""Children's literature"", ""Horror"",""Speculative fiction"", ""Fantasy"", ""Fiction"", ""Gothic fiction""}"
808,Chthon,Piers Anthony,"{""Science Fiction"",""Speculative fiction""}"
809,Quofum,Alan Dean Foster,"{""Science Fiction""}"
810,Rough Trails,Julia Ecklar,"{""Science Fiction""}"
811,Thornyhold,Mary Stewart,"{""Speculative fiction"", ""Fantasy"",""Children's literature"", ""Romance novel""}"
812,Imperium: A Novel of Ancient Rome,Robert Harris,"{""Speculative fiction"", ""Historical fiction"", ""Fiction"", ""Historical novel""}"
813,Alice Through the Needle's Eye,Gilbert Adair,"{""Speculative fiction"", ""Fantasy""}"
814,Meadowsweet,Baroness Emma Orczy,"{""Historical novel""}"
815,Welcome to Higby,Mark Dunn,"{""Novel""}"
816,Ordinary Thunderstorms,William Boyd,"{""Thriller""}"
817,Pygmy,Chuck Palahniuk,"{""Satire""}"
818,11/22/1963,Stephen King,"{""Alternate history"", ""Science Fiction""}"
819,White,Ted Dekker,"{""Thriller"", ""Science Fiction"", ""Novel"",""Speculative fiction"",""Mystery"", ""Fantasy"", ""Fiction"", ""Suspense""}"
820,The Last of the Jedi: Death on Naboo,Judy Blundell,"{""Science Fiction""}"
821,The Children of Llyr,Evangeline Walton,"{""Speculative fiction"", ""Fantasy"", ""Fiction""}"
822,Mistress of Spices,Chitra Banerjee Divakaruni,"{""Speculative fiction"", ""Novel""}"
823,A Study in Sorcery,Michael Kurland,"{""Alternate history"", ""Science Fiction"", ""Fantasy""}"
824,A Meeting at Corvallis,S. M. Stirling,"{""Alternate history"", ""Science Fiction"",""Speculative fiction""}"
825,His Family,Ernest Poole,"{""Fiction"", ""Novel""}"
826,The Problem Child,Michael Buckley,"{""Mystery"",""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
827,Sassinak,Anne McCaffrey,"{""Science Fiction"",""Children's literature"",""Speculative fiction"", ""Romance novel"", ""Fantasy"", ""Fiction""}"
828,Hope Was Here,Joan Bauer,"{""Young adult literature""}"
829,"Dr. Bloodmoney, or How We Got Along After the Bomb",Philip K. Dick,"{""Science Fiction"",""Speculative fiction""}"
830,Fear and Loathing in Las Vegas,Hunter S. Thompson,"{""Autobiographical novel"", ""Fiction"", ""Roman""}"
831,Little House in the Big Woods,Laura Ingalls Wilder,"{""Western"",""Children's literature"", ""Fiction""}"
832,The Green Ray,Jules Verne,"{""Fiction"", ""Adventure novel"", ""Novel""}"
833,The Whole Truth,David Baldacci,"{""Crime Fiction""}"
834,To Reign in Hell,Steven Brust,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
835,Journey Into Fear,Eric Ambler,"{""Mystery"", ""Fiction"", ""Suspense""}"
836,Elizabeth and After,Matt Cohen,"{""Fiction""}"
837,The Ultimate Solution,Eric Norden,"{""Alternate history"", ""Science Fiction"", ""Dystopia""}"
838,9tail Fox,Jon Courtenay Grimwood,"{""Science Fiction"",""Speculative fiction"", ""Fiction"", ""Novel""}"
839,Roxana: The Fortunate Mistress,Daniel Defoe,"{""Novel""}"
840,The Ghosts of N-Space,Barry Letts,"{""Science Fiction""}"
841,Phantom Lady,Cornell Woolrich,"{""Crime Fiction"",""Mystery"", ""Fiction"", ""Suspense""}"
842,Adam and Eve and Pinch Me,Ruth Rendell,"{""Crime Fiction""}"
843,My Friend Leonard,James Frey,"{""Fiction"",""Memoir""}"
844,Jedi Trial,Dan Cragg,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
845,Blind Faith,Ben Elton,"{""Black comedy"", ""Satire"", ""Dystopia"", ""Utopian and dystopian fiction""}"
846,Sun of Suns,Karl Schroeder,"{""Science Fiction""}"
847,Finite and Infinite Games,James P. Carse,"{""Fiction"", ""Philosophy""}"
848,The Magicians,John Boynton Priestley,"{""Speculative fiction""}"
849,The Forever King,Molly Cochran,"{""Speculative fiction"", ""Fantasy""}"
850,Fear Itself,Nick Wallace,"{""Science Fiction"",""Speculative fiction""}"
851,The Fire Within,Chris D'Lacey,"{""Children's literature"", ""Fantasy""}"
852,Crusade,Elizabeth Laird,"{""Children's literature""}"
853,Dragon Prince,Melanie Rawn,"{""Speculative fiction"", ""Fantasy"", ""Fiction""}"
854,Sandry's Book,Tamora Pierce,"{""Speculative fiction"", ""Fantasy""}"
855,Not That Sort of Girl,Mary Wesley,"{""Novel""}"
856,Bernard the Brave,Margery Sharp,"{""Children's literature""}"
857,Exultant,Stephen Baxter,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
858,Taronga,Victor Kelleher,"{""Fantasy"", ""Apocalyptic and post-apocalyptic fiction"", ""Young adult literature""}"
859,The Bowstring Murders,John Dickson Carr,"{""Mystery"", ""Detective fiction"", ""Novel""}"
860,The Glass Lake,Maeve Binchy,"{""Fiction"", ""Romance novel""}"
861,Siddhartha,Hermann Hesse,"{""Speculative fiction"", ""Fiction""}"
862,Runaway,Tom Clancy,"{""Science Fiction"", ""Young adult literature""}"
863,Love in a Cold Climate,Nancy Mitford,"{""Fiction""}"
864,Daniel Deronda,George Eliot,"{""Fiction"", ""Novel""}"
865,The Road to Wellville,T. Coraghessan Boyle,"{""Fiction"", ""Novel""}"
866,The Taking,Dean Koontz,"{""Thriller"",""Mystery"",""Speculative fiction"", ""Horror"", ""Suspense""}"
867,You Shall Know Our Velocity,Dave Eggers,"{""Novel""}"
868,The Devil in Velvet,John Dickson Carr,"{""Detective fiction"",""Speculative fiction"", ""Historical fiction"",""Mystery"", ""Suspense"", ""Fiction""}"
869,Helmet for My Pillow,Robert Leckie,"{""War novel"",""Non-fiction""}"
870,The Hungry Tide,Amitav Ghosh,"{""Novel""}"
871,Avalon,Anya Seton,"{""History"",""Speculative fiction"", ""Historical fiction"", ""Fiction"", ""Romance novel""}"
872,Terror by Satellite,Hugh Walters,"{""Science Fiction"",""Speculative fiction""}"
873,Boyracers,Alan Bissett,"{""Bildungsroman""}"
874,Floating Dragon,Peter Straub,"{""Speculative fiction"", ""Horror"", ""Fiction""}"
875,Merrick,Anne Rice,"{""Speculative fiction"", ""Horror"", ""Fiction""}"
876,The Mystery at the Ski Jump,Carolyn Keene,"{""Mystery"", ""Detective fiction"",""Children's literature""}"
877,Edenborn,Nick Sagan,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
878,Kapalkundala,Bankim Chandra Chattopadhyay,"{""Novel""}"
879,Grass for His Pillow,Gillian Rubinstein,"{""Speculative fiction"", ""Fantasy""}"
880,Before Green Gables,Budge Wilson,"{""Children's literature""}"
881,Spies,Thea von Harbou,"{""Novel"",""Speculative fiction"", ""Suspense"", ""Psychological novel"", ""Fiction""}"
882,The Brimstone Wedding,Ruth Rendell,"{""Crime Fiction"",""Mystery""}"
883,Wild Magic,Tamora Pierce,"{""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
884,Fire Bringer,David Clement-Davies,"{""Fantasy"",""Speculative fiction"", ""Young adult literature""}"
885,The Clue in the Embers,Franklin W. Dixon,"{""Mystery"", ""Detective fiction"", ""Fiction""}"
886,In Golden Blood,Stephen Woodworth,"{""Crime Fiction"", ""Science Fiction"",""Speculative fiction""}"
887,The Quest of the Missing Map,Carolyn Keene,"{""Mystery"", ""Detective fiction"",""Children's literature"", ""Fiction""}"
888,The Reverse of the Medal,Patrick O'Brian,"{""Historical fiction"", ""Fiction"", ""Historical novel""}"
889,East Is East,T. Coraghessan Boyle,"{""Novel"", ""Roman""}"
890,The Pure Weight of the Heart,Antonella Gambotto-Burke,"{""Literary fiction"", ""Romance novel""}"
891,The Amateur Gentleman,Jeffery Farnol,"{""Novel""}"
892,Tailchaser's Song,Tad Williams,"{""Speculative fiction"", ""Fantasy""}"
893,The Dying Animal,Philip Roth,"{""Fiction"", ""Novel""}"
894,Money,Martin Amis,"{""Fiction""}"
895,Auriol,William Harrison Ainsworth,"{""Horror"", ""Fiction"", ""Historical novel""}"
896,The Quantum Archangel,Craig Hinton,"{""Science Fiction"",""Speculative fiction""}"
897,The Feminine Mystique,Betty Friedan,"{""Non-fiction""}"
898,Queen Of The Falls,Chris Van Allsburg,"{""Novel""}"
899,Journeys and Adventures of Captain Hatteras,Jules Verne,"{""Science Fiction"", ""Adventure novel""}"
900,Quicksilver,Neal Stephenson,"{""Science Fiction"",""Speculative fiction"", ""Fiction"", ""Historical novel""}"
901,Housekeeping,Marilynne Robinson,"{""Fiction"", ""Novel""}"
902,Sisters,Danielle Steel,"{""Novel""}"
903,The Thorn Birds,Colleen McCullough,"{""Children's literature"", ""Fiction"", ""Romance novel"", ""Novel""}"
904,Sad Cypress,Agatha Christie,"{""Crime Fiction"",""Mystery"",""Children's literature"", ""Fiction"", ""Suspense""}"
905,Among the Brave,Margaret Haddix,"{""Science Fiction"",""Children's literature"",""Speculative fiction"", ""Young adult literature"", ""Fiction"", ""Dystopia""}"
906,Black Alice,John Sladek,"{""Novel""}"
907,The Conqueror Worms,Brian Keene,"{""Speculative fiction"", ""Horror"", ""Fiction""}"
908,Sister Mine,Tawni O'Dell,"{""Fiction"", ""Novel""}"
909,I Am the Messenger,Markus Zusak,"{""Fiction""}"
910,Spy Sinker,Len Deighton,"{""Mystery"", ""Fiction"", ""Suspense""}"
911,The Man in the Brown Suit,Agatha Christie,"{""Crime Fiction"", ""Biography"",""Mystery"",""Children's literature"", ""Fiction"",""Autobiography"", ""Suspense""}"
912,The Wreck of the Zanzibar,Michael Morpurgo,"{""Historical novel""}"
913,The Scapegoat,Daphne du Maurier,"{""Crime Fiction""}"
914,Outlaw,Angus Donald,"{""Historical fiction""}"
915,Hordubal,Karel Čapek,"{""Novel""}"
916,Touch Me,James Moloney,"{""Young adult literature""}"
917,Molly Moon's Hypnotic Time-Travel Adventure,Georgia Byng,"{""Speculative fiction"",""Children's literature""}"
918,The Loser,Thomas Bernhard,"{""Novel""}"
919,The Castle of Llyr,Lloyd Alexander,"{""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
920,The Secret of Wilhelm Storitz,Jules Verne,"{""Fantasy"", ""Novel""}"
921,Tower of Glass,Robert Silverberg,"{""Science Fiction"",""Speculative fiction"", ""Novel""}"
922,The Firework-Maker's Daughter,Philip Pullman,"{""Speculative fiction"",""Children's literature""}"
923,Kept in the Dark,Anthony Trollope,"{""Fiction"", ""Romance novel""}"
924,The City and the Pillar,Gore Vidal,"{""Novel""}"
925,Peter Camenzind,Hermann Hesse,"{""Speculative fiction"", ""Fiction"", ""Novel""}"
926,Dark Calling,Darren Shan,"{""Fantasy"", ""Adventure novel""}"
927,When Harlie Was One,David Gerrold,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
928,The Golden One,Barbara Mertz,"{""Mystery"",""Speculative fiction"", ""Historical novel""}"
929,The Other Side,Jacqueline Woodson,"{""Children's literature""}"
930,The Case of Thomas N.,John David Morley,"{""Crime Fiction"",""Mystery"", ""Fiction""}"
931,Small Gods,Terry Pratchett,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
932,Operation: Outer Space,Murray Leinster,"{""Science Fiction"",""Speculative fiction""}"
933,Half Moon Investigations,Eoin Colfer,"{""Mystery"",""Speculative fiction"",""Children's literature"", ""Fiction""}"
934,The Cleansing,John D. Harvey,"{""Speculative fiction"", ""Horror""}"
935,The Siege of White Deer Park,Colin Dann,"{""Children's literature"", ""Fantasy"", ""Fiction""}"
936,Dogland,Will Shetterly,"{""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
937,Flirt,Laurell K. Hamilton,"{""Mystery""}"
938,No Telephone to Heaven,Michelle Cliff,"{""Novel""}"
939,City of Illusions,Ursula K. Le Guin,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
940,Foundation's Triumph,David Brin,"{""Science Fiction"",""Speculative fiction""}"
941,Dwellers in the Mirage,A. Merritt,"{""Fantasy""}"
942,The Legacy of Heorot,Steven Barnes,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
